Sex,Age,Relatives,Fare,SibSp,Parch,Title,Embarked,Pclass,Survived
1,28.0,0,13.0,0,0,Mrs,2,2,0
1,25.0,0,7.65,0,0,Mrs,2,3,0
1,20.0,0,7.8542,0,0,Mrs,2,3,0
0,29.0,4,21.075,0,4,Mrs,2,3,0
1,31.0,1,52.0,1,0,Mrs,2,1,0
1,37.0,2,7.925,2,0,Mrs,2,3,0
1,19.0,0,14.5,0,0,Mrs,2,3,0
0,1.0,2,15.7417,0,2,Miss,0,3,1
1,20.5,0,7.25,0,0,Mrs,2,3,0
0,42.0,1,26.0,1,0,Mrs,2,2,1
1,25.0,0,13.0,0,0,Mrs,2,2,0
0,24.0,0,8.85,0,0,Miss,2,3,0
0,48.0,3,65.0,1,2,Mrs,2,2,1
1,37.0,1,26.0,1,0,Mrs,2,2,0
1,29.69911764705882,0,7.75,0,0,Mrs,1,3,0
1,17.0,0,7.125,0,0,Mrs,2,3,0
1,27.0,2,211.5,0,2,Mrs,0,1,0
1,17.0,2,7.2292,1,1,Mrs,0,3,0
1,32.0,2,73.5,2,0,Mrs,2,2,0
1,38.0,1,90.0,1,0,Mrs,2,1,1
0,29.69911764705882,0,7.7875,0,0,Miss,1,3,1
1,45.0,0,6.975,0,0,Mrs,2,3,0
1,32.0,1,26.0,1,0,Mrs,2,2,1
1,30.5,0,8.05,0,0,Mrs,2,3,0
0,41.0,1,19.5,0,1,Mrs,2,2,1
1,48.0,0,13.0,0,0,Mrs,2,2,0
1,60.0,2,79.2,1,1,Mrs,0,1,1
1,50.0,2,133.65,2,0,Officer,2,1,1
1,24.0,0,8.05,0,0,Mrs,2,3,0
0,17.0,0,14.4583,0,0,Miss,0,3,0
1,19.0,0,8.05,0,0,Mrs,2,3,0
1,25.0,1,26.0,1,0,Mrs,2,2,0
1,29.69911764705882,0,221.7792,0,0,Mrs,2,1,0
1,45.0,0,26.55,0,0,Officer,2,1,0
0,30.0,3,21.0,3,0,Mrs,2,2,1
1,40.0,0,27.7208,0,0,Royalty,0,1,0
1,34.0,1,21.0,1,0,Mrs,2,2,0
1,28.0,0,26.55,0,0,Mrs,2,1,1
1,36.0,0,7.4958,0,0,Mrs,2,3,0
0,3.0,3,41.5792,1,2,Miss,0,2,1
0,40.0,0,13.0,0,0,Miss,2,2,1
1,32.0,0,7.75,0,0,Mrs,1,3,0
1,34.0,1,26.0,1,0,Mrs,2,2,0
0,16.0,7,46.9,5,2,Miss,2,3,0
1,42.0,1,8.4042,0,1,Mrs,2,3,0
0,29.69911764705882,0,110.8833,0,0,Miss,0,1,1
1,25.0,0,7.7417,0,0,Mrs,1,3,0
1,7.0,5,39.6875,4,1,Master,2,3,0
1,23.0,0,10.5,0,0,Officer,2,2,0
1,28.0,0,13.5,0,0,Mrs,2,2,0
1,29.69911764705882,0,50.0,0,0,Mrs,2,1,0
1,50.0,0,8.05,0,0,Mrs,2,3,0
1,29.69911764705882,0,8.1125,0,0,Mrs,2,3,1
1,32.0,0,56.4958,0,0,Mrs,2,3,1
1,32.0,0,56.4958,0,0,Mrs,2,3,1
1,44.0,0,8.05,0,0,Mrs,2,3,0
1,29.69911764705882,0,30.6958,0,0,Mrs,0,1,0
1,70.5,0,7.75,0,0,Mrs,1,3,0
1,25.0,3,41.5792,1,2,Mrs,0,2,0
1,30.0,0,27.75,0,0,Mrs,0,1,0
0,22.0,1,66.6,1,0,Mrs,2,1,1
0,41.0,5,39.6875,0,5,Mrs,2,3,0
0,30.0,0,106.425,0,0,Miss,0,1,1
0,27.0,0,10.5,0,0,Miss,2,2,1
1,7.0,5,29.125,4,1,Master,1,3,0
0,31.0,0,7.8542,0,0,Miss,2,3,0
1,20.0,0,9.8458,0,0,Mrs,2,3,0
1,27.0,0,13.0,0,0,Officer,2,2,0
1,30.0,0,10.5,0,0,Mrs,2,2,0
0,48.0,0,25.9292,0,0,Mrs,2,1,1
0,26.0,1,16.1,1,0,Mrs,2,3,0
0,19.0,0,7.8792,0,0,Miss,1,3,1
1,27.0,0,30.5,0,0,Mrs,2,1,1
0,28.0,0,12.65,0,0,Mrs,2,2,1
1,19.0,0,7.8958,0,0,Mrs,2,3,0
1,40.0,0,7.225,0,0,Mrs,0,3,0
0,35.0,0,21.0,0,0,Miss,2,2,1
